日期,收盘,开盘,高,低,交易量,收盘,涨跌幅
2022年1月28日,308.26,300.23,308.48,294.45,49.48,430125632,2.81
2022年1月27日,299.84,302.66,307.30,297.93,53.00,430125632,1.05
2022年1月26日,296.71,307.98,308.50,293.03,89.98,430125632,2.85
2022年1月25日,288.49,291.52,294.99,285.17,65.78,430125632,-2.66
2022年1月24日,296.37,292.20,297.11,276.05,84.90,430125632,0.11
2022年1月21日,296.03,302.68,304.11,295.61,57.98,430125632,-1.85
2022年1月20日,301.60,309.07,311.65,301.14,34.79,430125632,-0.57
2022年1月19日,303.33,306.29,313.91,302.70,45.49,430125632,0.22
2022年1月18日,302.65,304.07,309.80,301.74,41.72,430125632,-2.43
2022年1月14日,310.20,304.25,310.82,303.75,39.85,430125632,1.77
2022年1月13日,304.80,320.47,320.88,304.00,44.99,430125632,-4.23
2022年1月12日,318.27,319.67,323.41,317.08,34.37,430125632,1.04
2022年1月11日,314.98,313.38,316.61,309.89,29.27,430125632,0.23
2022年1月10日,314.27,309.48,314.72,304.69,44.16,430125632,0.07
2022年1月7日,314.04,314.15,316.50,310.09,32.72,430125632,0.05
2022年1月6日,313.88,313.15,318.70,311.49,39.17,430125632,-0.79
2022年1月5日,316.38,325.86,326.07,315.98,39.63,430125632,-3.84
2022年1月4日,329.01,334.83,335.20,326.12,32.58,430125632,-1.71
2022年1月3日,334.75,335.35,338.00,329.78,28.69,430125632,-0.47
2021年12月31日,336.32,338.51,339.36,335.85,17.77,430125632,-0.88
2021年12月30日,339.32,341.91,343.13,338.82,15.77,430125632,-0.77
2021年12月29日,341.95,341.30,344.30,339.68,14.98,430125632,0.21
2021年12月28日,341.25,343.15,343.81,340.32,15.27,430125632,-0.35
2021年12月27日,342.45,335.46,342.48,335.43,19.86,430125632,2.32
2021年12月23日,334.69,332.75,336.39,332.73,19.62,430125632,0.45
2021年12月22日,333.20,328.30,333.61,325.75,24.51,430125632,1.81
2021年12月21日,327.29,323.29,327.73,319.80,24.29,430125632,2.31
2021年12月20日,319.91,320.05,322.80,317.57,28.12,430125632,-1.20
2021年12月17日,323.80,320.88,324.92,317.25,47.98,430125632,-0.34
2021年12月16日,324.90,335.71,336.76,323.02,34.48,430125632,-2.91
2021年12月15日,334.65,328.61,335.19,324.50,34.84,430125632,1.92
2021年12月14日,328.34,333.22,334.64,324.11,43.50,430125632,-3.26
2021年12月13日,339.40,340.68,343.79,339.08,28.08,430125632,-0.92
2021年12月10日,342.54,334.98,343.00,334.79,38.10,430125632,2.83
2021年12月9日,333.10,334.41,336.49,332.12,21.78,430125632,-0.56
2021年12月8日,334.97,335.31,335.50,330.80,24.70,430125632,0.01
2021年12月7日,334.92,331.64,335.80,330.10,30.70,430125632,2.68
2021年12月6日,326.19,323.95,327.45,319.23,29.91,430125632,0.98
2021年12月3日,323.01,331.99,332.70,318.03,41.78,430125632,-1.97
2021年12月2日,329.49,330.30,333.49,327.80,29.57,430125632,-0.18
2021年12月1日,330.08,335.13,339.28,329.39,33.40,430125632,-0.15
2021年11月30日,330.59,335.32,337.78,328.99,42.46,430125632,-1.79
2021年11月29日,336.63,334.94,339.03,334.74,27.53,430125632,2.11
2021年11月26日,329.68,334.35,337.93,328.12,23.84,430125632,-2.44
2021年11月24日,337.91,336.28,338.16,333.91,21.66,430125632,0.07
2021年11月23日,337.68,337.05,339.45,333.56,29.65,430125632,-0.63
2021年11月22日,339.83,344.62,349.67,339.55,30.45,430125632,-0.96
2021年11月19日,343.11,342.64,345.10,342.20,21.96,430125632,0.54
2021年11月18日,341.27,338.18,342.45,337.12,22.46,430125632,0.63
2021年11月17日,339.12,338.94,342.19,338.00,18.21,430125632,-0.11
2021年11月16日,339.51,335.68,340.67,335.51,20.25,430125632,1.02
2021年11月15日,336.07,337.54,337.88,334.03,16.72,430125632,-0.19
2021年11月12日,336.72,333.92,337.23,333.79,23.83,430125632,1.29
2021年11月11日,332.43,331.25,333.77,330.51,14.62,430125632,0.49
2021年11月10日,330.80,334.57,334.63,329.92,25.41,430125632,-1.53
2021年11月9日,335.95,337.11,338.72,334.53,20.02,430125632,-0.31
2021年11月8日,336.99,337.30,337.65,334.44,20.37,430125632,0.28
2021年11月5日,336.06,338.51,338.79,334.42,22.57,430125632,-0.11
2021年11月4日,336.44,332.89,336.54,329.51,23.97,430125632,0.73
2021年11月3日,334.00,333.90,334.90,330.65,21.22,430125632,0.26
2021年11月2日,333.13,330.31,333.45,330.00,25.84,430125632,1.14
2021年11月1日,329.37,331.36,331.49,326.37,26.84,430125632,-0.68
2021年10月29日,331.62,324.13,332.00,323.90,34.77,430125632,2.24
2021年10月28日,324.35,324.33,324.87,321.36,25.76,430125632,0.37
2021年10月27日,323.17,316.00,326.10,316.00,52.39,430125632,4.21
2021年10月26日,310.11,311.00,312.39,308.60,26.32,430125632,0.64
2021年10月25日,308.13,309.36,309.40,306.46,16.98,430125632,-0.33
2021年10月22日,309.16,310.40,311.09,307.80,17.45,430125632,-0.51
2021年10月21日,310.76,307.17,311.02,306.36,16.64,430125632,1.09
2021年10月20日,307.41,309.21,309.70,306.11,16.44,430125632,-0.27
2021年10月19日,308.23,308.35,309.30,307.22,17.68,430125632,0.31
2021年10月18日,307.29,303.57,308.21,302.69,22.50,430125632,1.01
2021年10月15日,304.21,302.34,304.45,300.52,25.38,430125632,0.48
2021年10月14日,302.75,299.21,303.27,297.83,27.12,430125632,2.17
2021年10月13日,296.31,294.91,297.28,293.49,23.03,430125632,1.17
2021年10月12日,292.88,295.34,295.44,292.35,17.97,430125632,-0.46
2021年10月11日,294.23,292.92,297.97,292.74,19.27,430125632,-0.21
2021年10月8日,294.85,296.22,296.64,293.76,17.69,430125632,0.00
2021年10月7日,294.85,295.17,296.64,293.92,20.28,430125632,0.59
2021年10月6日,293.11,285.78,293.63,285.51,27.69,430125632,1.51
2021年10月5日,288.76,284.05,290.40,284.05,24.57,430125632,2.00
2021年10月4日,283.11,287.40,287.75,280.25,30.85,430125632,-2.07
